                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.77069,                    0.9,                0.42679,                0.88649,                0.89417,                0.93624,                 0.9154,                0.68914,                 0.8952,                0.93738,                0.91661,                0.66158,                 1.1652,                 1.5118,                0.64977,                 1.0484,               0.004918,               0.004918,               0.004918
                     79,                0.76578,                0.89453,                0.42547,                0.88506,                0.90995,                0.92503,                0.92405,                0.69548,                 0.9102,                0.92539,                0.92441,                0.67166,                 1.1648,                 1.5456,                0.63731,                 1.0526,               0.004852,               0.004852,               0.004852
                     80,                0.75495,                0.88961,                0.41771,                0.88486,                0.90676,                0.93295,                0.91958,                0.69262,                0.90729,                0.93349,                0.92026,                0.66319,                 1.1646,                 1.5587,                0.64388,                 1.0478,               0.004786,               0.004786,               0.004786
                     81,                0.75316,                0.88465,                0.41784,                0.88243,                 0.9009,                0.93448,                0.91617,                0.69022,                0.90121,                0.93482,                0.91669,                0.66144,                 1.1655,                  1.572,                0.64884,                 1.0519,                0.00472,                0.00472,                0.00472
                     82,                 0.7523,                0.88331,                0.41798,                0.88073,                0.91459,                0.93166,                0.92577,                0.69913,                0.91522,                0.93234,                0.92602,                0.66844,                 1.1623,                 1.5559,                0.62547,                 1.0477,               0.004654,               0.004654,               0.004654
                     83,                0.74574,                0.87305,                0.41493,                0.87834,                0.91693,                 0.9234,                0.92282,                0.69681,                0.91776,                0.92431,                0.92361,                0.66476,                 1.1574,                 1.5609,                0.63762,                   1.05,               0.004588,               0.004588,               0.004588
                     84,                0.73895,                0.87196,                0.40969,                 0.8764,                0.90335,                  0.941,                0.92345,                0.69666,                0.90396,                0.94169,                0.92394,                0.66671,                 1.1616,                  1.581,                0.64028,                 1.0517,               0.004522,               0.004522,               0.004522
                     85,                0.73595,                0.86915,                0.41239,                0.87642,                0.91841,                0.92686,                0.92185,                0.69846,                0.91929,                0.92776,                0.92278,                0.66641,                 1.1569,                  1.584,                0.63621,                  1.047,               0.004456,               0.004456,               0.004456
                     86,                0.73325,                0.86815,                0.41142,                0.87707,                0.91801,                0.93454,                0.92498,                0.70009,                0.92099,                0.93306,                0.92557,                0.66945,                  1.161,                 1.5892,                0.62224,                 1.0489,                0.00439,                0.00439,                0.00439
                     87,                0.72829,                0.86134,                0.40839,                0.87546,                0.91347,                0.93349,                0.92261,                0.69842,                0.91439,                0.93452,                0.92305,                0.66881,                 1.1602,                 1.5794,                0.62765,                 1.0502,               0.004324,               0.004324,               0.004324
                     88,                0.72326,                0.85638,                0.40598,                0.87304,                0.91261,                0.93228,                 0.9282,                0.70124,                0.91388,                0.93364,                0.92886,                0.66933,                 1.1655,                 1.6007,                 0.6352,                 1.0539,               0.004258,               0.004258,               0.004258
                     89,                0.72245,                0.85505,                0.40422,                0.87197,                0.90055,                0.94073,                0.92235,                  0.697,                0.90073,                0.94097,                0.92238,                0.66762,                  1.164,                 1.6034,                0.63773,                 1.0554,               0.004192,               0.004192,               0.004192
                     90,                0.71272,                0.84251,                0.40088,                 0.8708,                0.90974,                0.93626,                0.92349,                 0.7001,                0.90948,                0.93605,                0.92306,                0.67057,                 1.1581,                 1.6049,                0.63479,                 1.0546,               0.004126,               0.004126,               0.004126
                     91,                0.71451,                0.83983,                0.40321,                0.86994,                0.89956,                0.93717,                0.91949,                 0.6946,                0.89917,                0.93686,                0.91903,                 0.6678,                 1.1623,                 1.6107,                0.64584,                 1.0532,                0.00406,                0.00406,                0.00406
                     92,                0.70765,                0.83577,                0.39818,                0.86746,                0.90655,                0.93432,                0.92173,                0.69596,                 0.9074,                0.93523,                0.92211,                0.66873,                 1.1665,                 1.6463,                0.64555,                 1.0546,               0.003994,               0.003994,               0.003994
                     93,                0.69812,                 0.8315,                0.39504,                0.86907,                0.91184,                0.92274,                0.91927,                0.69617,                0.91231,                0.92332,                0.91944,                0.66522,                 1.1674,                 1.6482,                0.64732,                 1.0579,               0.003928,               0.003928,               0.003928
